	Test	Instances	Knocked out
0.3,0,0.15	0.7513513513513513	0.23104693140794227	0.8071138211382113
0.3,0.2,0	0.754054054054054	0.22857142857142856	0.7817406675678487
0.3,0.2,0.15	0.7653820148749154	0.23188405797101447	0.7923329233292333
0.3,0.7,0	0.7641509433962265	0.22775800711743777	0.7916452309908427
0.3,0.7,0.15	0.7628032345013476	0.22302158273381295	0.8065301155952138
0.3,0.8,0	0.7618403247631934	0.22775800711743777	0.7979942693409743
0.3,0.8,0.15	0.7588075880758807	0.22463768115942026	0.8072203630463441
0.35,0,0.15	0.7501683501683502	0.2302158273381295	0.8114008489993936
0.35,0.2,0	0.7547425474254743	0.23616236162361626	0.7833055786844297
0.35,0.2,0.15	0.7560975609756098	0.23188405797101447	0.8000408079983676
0.35,0.7,0	0.7643484132343012	0.23272727272727273	0.7953540960016445
0.35,0.7,0.15	0.7628032345013476	0.2206405693950178	0.8030856678846934
0.35,0.8,0	0.7748478701825559	0.22382671480144403	0.7983623336745138
0.35,0.8,0.15	0.7619689817936616	0.21352313167259784	0.8085882114644519
