	Test	Instances	Knocked out
0.5	0.7520215633423182	0.22857142857142856	0.7927017833213071
0.59	0.7520215633423182	0.22857142857142856	0.7927017833213071
0.6	0.7520215633423182	0.22857142857142856	0.7927017833213071
0.65	0.7520215633423182	0.22857142857142856	0.7927017833213071
0.66	0.7506775067750678	0.23188405797101447	0.7844155844155845
0.67	0.7506775067750678	0.23188405797101447	0.7844155844155845
0.68	0.7562457798784605	0.23104693140794227	0.7823278107742002
0.69	0.7562457798784605	0.23104693140794227	0.7823278107742002
0.7	0.7562457798784605	0.23104693140794227	0.7823278107742002
0.71	0.7447811447811449	0.22775800711743777	0.7874146139515629
0.72	0.7566101694915256	0.23188405797101447	0.7845177400894808
0.73	0.7427803895231698	0.22775800711743777	0.7901744246052224
0.74	0.7555856465809073	0.22627737226277375	0.7823553890969621
0.75	0.7545887151597553	0.23188405797101447	0.7818011061254304
0.76	0.7538983050847459	0.23188405797101447	0.7830974188176519
0.77	0.7488151658767774	0.22302158273381295	0.7813216593704398
0.78	0.7530529172320216	0.2302158273381295	0.7822370478473888
0.79	0.7557666214382632	0.2302158273381295	0.7821194123163488
0.8	0.7481228668941979	0.23188405797101447	0.7799018071659876
0.81	0.7527173913043479	0.23188405797101447	0.7820566194837636
0.82	0.760677966101695	0.2335766423357664	0.7852328113657576
0.83	0.7481431465226198	0.22302158273381295	0.7914559900939016
0.84	0.759972954699121	0.22463768115942026	0.7852837247973394
0.85	0.7623561272850371	0.22463768115942026	0.7827625689601332
0.86	0.760027192386132	0.23616236162361626	0.791024713059663
0.87	0.7603530210454854	0.2254545454545455	0.7717676714630817
0.88	0.7595628415300547	0.23529411764705882	0.765588670471359
0.89	0.7602179836512262	0.23272727272727273	0.7654581968079485
0.9	0.7618403247631934	0.22627737226277375	0.7687447346251053
0.91	0.7658998646820027	0.22857142857142856	0.7728130899937069
0.92	0.7595108695652173	0.2344322344322344	0.7666666666666667
0.93	0.7595108695652173	0.2344322344322344	0.7666666666666667
0.94	0.7623561272850371	0.2254545454545455	0.770136698212408
0.95	0.7588075880758807	0.2254545454545455	0.770879294043492
0.96	0.757123473541384	0.23272727272727273	0.7731515469323543
0.97	0.757123473541384	0.23272727272727273	0.7731515469323543
0.98	0.757123473541384	0.23272727272727273	0.7731515469323543
0.99	0.757123473541384	0.23272727272727273	0.7731515469323543
1.0	0.7630685675492193	0.23104693140794227	0.7756598240469208
