	Test	Instances	Knocked out
0.0	0.7185792349726776	0.21245421245421245	0.7494917067950776
0.05	0.7110501029512697	0.19354838709677422	0.7487653672375749
0.1	0.7146739130434782	0.2007434944237918	0.7176569742941423
0.15	0.6953597848016139	0.21660649819494585	0.7052312832828653
0.2	0.6783546864463924	0.21014492753623187	0.6919962628464653
0.25	0.6644204851752021	0.20817843866171004	0.6761639310416021
0.3	0.6401080351114112	0.1691176470588235	0.6659778902779212
0.35	0.6418109187749667	0.15671641791044774	0.651708522025525
0.4	0.6137424949966644	0.14869888475836432	0.6398026315789473
0.45	0.5890227576974565	0.14173228346456693	0.6200144285272596
0.5	0.5797101449275361	0.13229571984435798	0.6126551122961748
0.6	0.5177076625885383	0.10236220472440945	0.5987635552852943
0.7	0.4594921402660218	0.05970149253731343	0.5700693756194252
0.8	0.415944540727903	0.03558718861209964	0.5401966454598033
