onion	pizza
extra cheese	fresh tomato
chicken tikka-	extra cheese
desserts	beverages
custom pizzas	toppings
pizza slice	last slice
chicken sausage	jalapeno
crust styles	toppings
extra cheese	peri-peri chicken
cheese	wheat thin crust
non-veg toppings	fresh tomato
chicken tikka-	jalapeno
toppings	Pizza
jalapeno	extra cheese
jalapeno	pizza
classic hand-tossed crust	cheese
grilled mushroom	jalapeno
chicken tikka-	grilled mushroom
custom pizzas	crust styles
non-veg toppings	onion
chicken sausage	grilled mushroom
fresh tomato	peri-peri chicken
grilled mushroom	extra cheese
crust styles	Pizza
fresh pan pizza	New hand-tossed crust
chicken tikka-	chicken sausage
fresh pan pizza	classic hand-tossed crust
chicken tikka-	onion
New hand-tossed crust	wheat thin crust
non-veg toppings	grilled mushroom
onion	peri-peri chicken
chicken sausage	non-veg toppings
extra cheese	onion
non-veg toppings	pizza
fresh pan pizza	cheese
grilled mushroom	peri-peri chicken
jalapeno	fresh tomato
chicken sausage	fresh tomato
pizza	peri-peri chicken
onion	fresh tomato
non-veg toppings	jalapeno
chicken tikka-	fresh tomato
fresh tomato	pizza
grilled mushroom	onion
fresh pan pizza	wheat thin crust
non-veg toppings	extra cheese
chicken sausage	pizza
grilled mushroom	fresh tomato
chicken tikka-	peri-peri chicken
beverages	menu
chicken tikka-	pizza
desserts	menu
chicken sausage	peri-peri chicken
jalapeno	peri-peri chicken
cheesy slice	best pizza
New hand-tossed crust	cheese
chicken tikka-	non-veg toppings
extra cheese	pizza
grilled mushroom	pizza
New hand-tossed crust	classic hand-tossed crust
Domino	pizza
non-veg toppings	peri-peri chicken
chicken sausage	onion
jalapeno	onion
chicken sausage	extra cheese
classic hand-tossed crust	wheat thin crust
custom pizzas	Pizza
